qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6.0,GaussianNB,0.9290,0.02,0.9977,0.00,0.9550,0.02,0.8531,0.03,0.8531,0.03,0.7812,0.06,0.8399,0.04
6.0,DecisionTree,0.9703,0.01,0.9977,0.00,0.9807,0.01,0.9390,0.01,0.9390,0.01,0.9133,0.02,0.9370,0.02
6.0,RandomForest,0.9907,0.01,0.9993,0.00,0.9939,0.00,0.9992,0.00,0.9814,0.01,0.9736,0.02,0.9812,0.01
6.0,LogisticRegression,0.9907,0.01,1.0000,0.00,0.9938,0.00,0.9995,0.00,0.9809,0.01,0.9742,0.02,0.9807,0.01
6.0,SVM,0.9936,0.00,1.0000,0.00,0.9958,0.00,0.9998,0.00,0.9867,0.01,0.9822,0.01,0.9865,0.01
6.0,Bagging,0.9901,0.01,0.9962,0.00,0.9935,0.00,0.9978,0.01,0.9833,0.01,0.9718,0.02,0.9831,0.01
6.0,KNN,0.9423,0.01,0.9391,0.01,0.9614,0.01,0.9773,0.01,0.9459,0.02,0.8445,0.03,0.9457,0.02
6.0,Adaboost,0.9883,0.01,0.9962,0.01,0.9924,0.01,0.9978,0.00,0.9795,0.01,0.9668,0.02,0.9793,0.01
6.0,MLP,0.9895,0.01,0.9954,0.00,0.9930,0.01,0.9988,0.00,0.9841,0.01,0.9713,0.02,0.9840,0.01
6.0,Catboost,0.9907,0.01,0.9984,0.00,0.9938,0.00,0.9991,0.00,0.9821,0.01,0.9739,0.02,0.9819,0.01
